center,left,right,steering,throttle,brake,speed
IMG/center_2026_08_30_19_26_14_726.jpg,IMG/left_2026_08_30_19_26_14_726.jpg,IMG/right_2026_08_30_19_26_14_726.jpg,0.0,1.0,0.0,30.18785
IMG/center_2026_08_30_19_24_20_447.jpg,IMG/left_2026_08_30_19_24_20_447.jpg,IMG/right_2026_08_30_19_24_20_447.jpg,0.0,1.0,0.0,30.1903
C:\Users\eljes\Downloads\simulator-windows-64\IMG\center_2026_09_01_11_20_08_084.jpg, C:\Users\eljes\Downloads\simulator-windows-64\IMG\left_2026_09_01_11_20_08_084.jpg, C:\Users\eljes\Downloads\simulator-windows-64\IMG\right_2026_09_01_11_20_08_084.jpg,0.0,0.0,0.0,1.087671
IMG\center_2026_08_31_22_01_04_703.jpg,IMG\left_2026_08_31_22_01_04_703.jpg,IMG\right_2026_08_31_22_01_04_703.jpg,0.5433409,1.0,0.0,30.13059
C:\Users\eljes\Downloads\simulator-windows-64\IMG\center_2026_09_01_11_21_50_748.jpg, C:\Users\eljes\Downloads\simulator-windows-64\IMG\left_2026_09_01_11_21_50_748.jpg, C:\Users\eljes\Downloads\simulator-windows-64\IMG\right_2026_09_01_11_21_50_748.jpg,-0.2013975,1.0,0.0,30.19725
IMG/center_2026_08_30_19_28_20_299.jpg,IMG/left_2026_08_30_19_28_20_299.jpg,IMG/right_2026_08_30_19_28_20_299.jpg,0.690546,0.0,0.6686698,0.006903288
C:\Users\eljes\Downloads\simulator-windows-64\IMG\center_2026_09_01_11_20_30_448.jpg, C:\Users\eljes\Downloads\simulator-windows-64\IMG\left_2026_09_01_11_20_30_448.jpg, C:\Users\eljes\Downloads\simulator-windows-64\IMG\right_2026_09_01_11_20_30_448.jpg,0.0,1.0,0.0,30.24833
C:\Users\eljes\Downloads\simulator-windows-64\IMG\center_2026_09_01_11_21_44_554.jpg, C:\Users\eljes\Downloads\simulator-windows-64\IMG\left_2026_09_01_11_21_44_554.jpg, C:\Users\eljes\Downloads\simulator-windows-64\IMG\right_2026_09_01_11_21_44_554.jpg,0.0,1.0,0.0,30.21781
IMG/center_2026_08_31_16_54_44_587.jpg,IMG/left_2026_08_31_16_54_44_587.jpg,IMG/right_2026_08_31_16_54_44_587.jpg,-0.2509296,1.0,0.0,30.17394
IMG/center_2026_08_30_19_25_57_437.jpg,IMG/left_2026_08_30_19_25_57_437.jpg,IMG/right_2026_08_30_19_25_57_437.jpg,0.0,1.0,0.0,30.1903
IMG\center_2026_08_31_21_56_43_426.jpg,IMG\left_2026_08_31_21_56_43_426.jpg,IMG\right_2026_08_31_21_56_43_426.jpg,0.0,1.0,0.0,30.19003
IMG\center_2026_08_31_21_51_02_357.jpg,IMG\left_2026_08_31_21_51_02_357.jpg,IMG\right_2026_08_31_21_51_02_357.jpg,-0.2380911,1.0,0.0,30.17602
C:\Users\eljes\Downloads\simulator-windows-64\IMG\center_2026_09_01_11_21_40_594.jpg, C:\Users\eljes\Downloads\simulator-windows-64\IMG\left_2026_09_01_11_21_40_594.jpg, C:\Users\eljes\Downloads\simulator-windows-64\IMG\right_2026_09_01_11_21_40_594.jpg,0.0,0.6072072,0.0,18.99967
