center,left,right,steering,throttle,brake,speed
IMG/center_2026_08_31_16_53_46_293.jpg,IMG/left_2026_08_31_16_53_46_293.jpg,IMG/right_2026_08_31_16_53_46_293.jpg,0.0,1.0,0.0,30.19029
IMG/center_2026_08_31_16_53_26_438.jpg,IMG/left_2026_08_31_16_53_26_438.jpg,IMG/right_2026_08_31_16_53_26_438.jpg,-0.6476228,1.0,0.0,28.03197
IMG\center_2026_08_31_22_00_52_711.jpg,IMG\left_2026_08_31_22_00_52_711.jpg,IMG\right_2026_08_31_22_00_52_711.jpg,0.0,1.0,0.0,30.19036
IMG\center_2026_08_31_21_59_37_452.jpg,IMG\left_2026_08_31_21_59_37_452.jpg,IMG\right_2026_08_31_21_59_37_452.jpg,-0.3032436,1.0,0.0,30.19239
IMG/center_2026_08_31_16_53_10_619.jpg,IMG/left_2026_08_31_16_53_10_619.jpg,IMG/right_2026_08_31_16_53_10_619.jpg,0.0,0.0,0.6092201,0.00087567
IMG/center_2026_08_31_16_55_05_617.jpg,IMG/left_2026_08_31_16_55_05_617.jpg,IMG/right_2026_08_31_16_55_05_617.jpg,0.0859637,1.0,0.0,30.19223
IMG/center_2026_08_31_16_54_38_376.jpg,IMG/left_2026_08_31_16_54_38_376.jpg,IMG/right_2026_08_31_16_54_38_376.jpg,0.7002299,1.0,0.0,30.16876
IMG/center_2026_08_31_16_54_25_875.jpg,IMG/left_2026_08_31_16_54_25_875.jpg,IMG/right_2026_08_31_16_54_25_875.jpg,0.6113847,1.0,0.0,30.18824
IMG/center_2026_08_31_16_52_40_815.jpg,IMG/left_2026_08_31_16_52_40_815.jpg,IMG/right_2026_08_31_16_52_40_815.jpg,-0.3377142,1.0,0.0,12.07766
IMG/center_2026_08_30_19_27_30_482.jpg,IMG/left_2026_08_30_19_27_30_482.jpg,IMG/right_2026_08_30_19_27_30_482.jpg,0.0,1.0,0.0,30.1898
IMG/center_2026_08_31_16_54_43_016.jpg,IMG/left_2026_08_31_16_54_43_016.jpg,IMG/right_2026_08_31_16_54_43_016.jpg,0.545149,1.0,0.0,30.13594
IMG/center_2026_08_30_19_24_07_342.jpg,IMG/left_2026_08_30_19_24_07_342.jpg,IMG/right_2026_08_30_19_24_07_342.jpg,0.0,0.0,0.0,7.83373e-05
IMG\center_2026_08_31_21_56_47_676.jpg,IMG\left_2026_08_31_21_56_47_676.jpg,IMG\right_2026_08_31_21_56_47_676.jpg,0.0,1.0,0.0,30.19042
IMG/center_2026_08_30_19_27_04_829.jpg,IMG/left_2026_08_30_19_27_04_829.jpg,IMG/right_2026_08_30_19_27_04_829.jpg,0.0,1.0,0.0,30.18996
IMG\center_2026_08_31_21_56_53_362.jpg,IMG\left_2026_08_31_21_56_53_362.jpg,IMG\right_2026_08_31_21_56_53_362.jpg,0.0,1.0,0.0,30.18809
IMG/center_2026_08_31_16_55_49_093.jpg,IMG/left_2026_08_31_16_55_49_093.jpg,IMG/right_2026_08_31_16_55_49_093.jpg,0.6430895,0.4663552,0.0,0.01024486
IMG/center_2026_08_31_16_54_34_246.jpg,IMG/left_2026_08_31_16_54_34_246.jpg,IMG/right_2026_08_31_16_54_34_246.jpg,-0.3648456,1.0,0.0,30.1412
IMG/center_2026_08_30_19_26_30_667.jpg,IMG/left_2026_08_30_19_26_30_667.jpg,IMG/right_2026_08_30_19_26_30_667.jpg,0.0,1.0,0.0,30.18994
IMG/center_2026_08_30_19_26_46_582.jpg,IMG/left_2026_08_30_19_26_46_582.jpg,IMG/right_2026_08_30_19_26_46_582.jpg,0.06403983,1.0,0.0,30.19185
IMG/center_2026_08_30_19_24_38_187.jpg,IMG/left_2026_08_30_19_24_38_187.jpg,IMG/right_2026_08_30_19_24_38_187.jpg,-0.1941747,1.0,0.0,30.18058
IMG/center_2026_08_30_19_25_32_912.jpg,IMG/left_2026_08_30_19_25_32_912.jpg,IMG/right_2026_08_30_19_25_32_912.jpg,-0.1259817,1.0,0.0,30.19131
